,idSolicitudLista,txOrganizacionPolitica,numLista,numCandidatos,txDescUbigeo,idOrganizacionPolitica,txDepartamento,txProvincia,txDistrito,idTipoEleccion,numTotalCandidatoHombre,numTotalCandidatoMujer,fgTieneAccesitario,numTotalAccesitarios,numTotalObligatorios,txTipoEleccion
163,14642,RENOVACION POPULAR,1,32,SAN MARTIN,22,SAN MARTIN,,,4,16,16,NO,0,32,REGIONAL
164,9855,MOVIMIENTO INDEPENDIENTE LORETO - MI LORETO,1,34,LORETO,315,LORETO,,,4,17,17,NO,0,34,REGIONAL
165,3836,JUNTOS POR EL PERU,1,22,AMAZONAS,1264,AMAZONAS,,,4,11,11,NO,0,22,REGIONAL
166,14843,ALIANZA PARA EL PROGRESO,1,32,MADRE DE DIOS,1257,MADRE DE DIOS,,,4,16,16,SI,10,22,REGIONAL
167,12057,JUNTOS POR EL DESARROLLO DE AREQUIPA,1,36,AREQUIPA,2257,AREQUIPA,,,4,18,18,SI,6,30,REGIONAL
168,11882,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,1,24,CALLAO,2173,CALLAO,,,4,13,11,SI,4,20,REGIONAL
169,6491,FUERZA POPULAR,1,16,TUMBES,1366,TUMBES,,,4,9,7,NO,0,16,REGIONAL
170,14072,CORAZON PATRIOTA,1,30,JUNIN,2729,JUNIN,,,4,16,14,SI,2,28,REGIONAL
171,14744,ALIANZA GOBIERNO UNIDAD Y ACCION,1,71,ANCASH,2856,ANCASH,,,4,36,35,SI,19,52,REGIONAL
172,14683,PASCO VERDE,1,38,PASCO,2353,PASCO,,,4,20,18,SI,14,24,REGIONAL
173,5267,FUERZA POPULAR,1,24,PIURA,1366,PIURA,,,4,11,13,NO,0,24,REGIONAL
174,15068,MOVIMIENTO REGIONAL JUVENTUD PASQUEÑA,1,24,PASCO,2753,PASCO,,,4,12,12,NO,0,24,REGIONAL
175,6962,PARTIDO FRENTE DE LA ESPERANZA 2021,1,52,AYACUCHO,2857,AYACUCHO,,,4,27,25,SI,16,36,REGIONAL
176,14111,PARTIDO FRENTE DE LA ESPERANZA 2021,1,22,LAMBAYEQUE,2857,LAMBAYEQUE,,,4,11,11,NO,0,22,REGIONAL
177,15105,ALIANZA PARA EL PROGRESO,1,27,MOQUEGUA,1257,MOQUEGUA,,,4,14,13,SI,5,22,REGIONAL
178,15051,PARTIDO MORADO,1,24,APURIMAC,2840,APURIMAC,,,4,13,11,NO,0,24,REGIONAL
179,14169,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,1,28,LIMA,2173,LIMA,,,4,15,13,NO,0,28,REGIONAL
180,12398,PARTIDO POLITICO NACIONAL PERU LIBRE,1,34,LORETO,2218,LORETO,,,4,17,17,NO,0,34,REGIONAL
181,10223,PARTIDO POLITICO NACIONAL PERU LIBRE,1,53,HUANUCO,2218,HUANUCO,,,4,26,27,SI,11,42,REGIONAL
182,13682,PARTIDO DEMOCRATICO SOMOS PERU,1,24,HUANCAVELICA,14,HUANCAVELICA,,,4,13,11,NO,0,24,REGIONAL
183,3164,FUERZA POPULAR,1,34,LORETO,1366,LORETO,,,4,17,17,NO,0,34,REGIONAL
184,15025,JUNTOS POR EL PERU,1,46,CUSCO,1264,CUSCO,,,4,23,23,NO,0,46,REGIONAL
185,2802,FUERZA POPULAR,1,22,AMAZONAS,1366,AMAZONAS,,,4,11,11,NO,0,22,REGIONAL
186,15236,ALIANZA LIBERTAD MADREDIOSENSE,1,26,MADRE DE DIOS,2809,MADRE DE DIOS,,,4,13,13,SI,4,22,REGIONAL
187,12714,UNO POR ICA,1,24,ICA,2701,ICA,,,4,13,11,NO,0,24,REGIONAL
188,15237,ALIANZA PARA EL PROGRESO,1,58,PUNO,1257,PUNO,,,4,30,28,SI,18,40,REGIONAL
